,author,authorChannelUrl,text,likeCount,publishedAt,offensive/non offensive,Algerian Dialect,auto_annotation,result
1176,Islam Djalal,http://www.youtube.com/channel/UCosDu6gJfmgcRr3G5TlJT7w,واالله غير علاجل لفڨورا لي كيما نتي لي شبيبة ڨع هربة عند االله لملقا متخافيش,0,2021-03-30T22:42:57Z,p,,n,0.0
1177,أمال أمال,http://www.youtube.com/channel/UCgG6Vq5C1nYfIvAgECD5rwg,جداتى عندعا مقولة شهيرة تقول لى ماعندو مايصر يصر فمو وفعلا اللسان سبب المشاكل,0,2021-03-30T22:27:59Z,n,,n,1.0
1178,Rak fi Algérie16,http://www.youtube.com/channel/UCLIf2iuTymuTejA1ORB-uFw,ربي يتوب عليك,0,2021-03-30T22:12:45Z,n,,n,1.0
1179,عمر انس,http://www.youtube.com/channel/UCaMvNmRZiIh4SweZkhyLswA,استغفر الله اتوب اليه,0,2021-03-30T21:44:15Z,n,,n,1.0
1180,Hamoudi Gasmi,http://www.youtube.com/channel/UCzG_Rd_wGPxYhYHtqdTMApA,ياو فاقو ادي حكايتك وروحي,0,2021-03-30T21:33:31Z,p,,p,1.0
1181,Aa Kasem,http://www.youtube.com/channel/UCr9rHh7qg2AaQW0xWphkU-w,شنو هاذ ياخرا انتي شنو تڨولي,0,2021-03-30T21:13:22Z,p,,n,0.0
1182,kabil dz nabil,http://www.youtube.com/channel/UCKEaH3PbC26HgX6fn6NC1iw,في سلة المهملات,0,2021-03-30T20:27:28Z,p,,p,1.0
1183,Souad Bachir cherif,http://www.youtube.com/channel/UCl5nkeKPn3KF9psjqD7-5aQ,لابوبال,0,2021-03-30T19:54:49Z,p,,p,1.0
1184,Mr. sofiane,http://www.youtube.com/channel/UCcepVLo1tLydGnWZNH_xiLg,متعرفش تكدب,0,2021-03-30T19:49:59Z,n,,n,1.0
1185,Miss Dior DZ,http://www.youtube.com/channel/UCC6RQX6imCM_DDDMikcBOvw,الخوف يهدر,0,2021-03-30T18:51:01Z,p,,p,1.0
1186,hamza lahcene,http://www.youtube.com/channel/UCltK_nAH5abZ6AIqIhx-zIA,مزال وجهك صحيح يا بيتلماء,0,2021-03-30T17:52:41Z,p,,n,0.0
1187,Saf Yia,http://www.youtube.com/channel/UC-Oee01Foi6wvIA4GX9mT_Q,جات لمبعرة روحي الله اجيبلك السخط ان شاء الله في هاذ لعواشر ياربي,0,2021-03-30T15:20:54Z,p,,p,1.0
1188,Sam Usta.sam,http://www.youtube.com/channel/UCVnEAWyssTenTyoV0i78uvg,تفوه وجه الشر,0,2021-03-30T15:08:34Z,p,,p,1.0
1189,Sofian Safani,http://www.youtube.com/channel/UCdLKH1C2gXm5Qy3NZao_VyQ,انا بروحي غادي كل ما نلقاك في اي قنات نزابي يا وجه الدنجال,0,2021-03-30T14:58:23Z,p,,n,0.0
1190,Abdo Hocine,http://www.youtube.com/channel/UCMLHzO1pFZ1CYcHpaEYr-tA,ختفو عليك,0,2021-03-30T14:33:47Z,p,,p,1.0
1191,Fahd Fahd,http://www.youtube.com/channel/UCBzczTnUBs-junfl9Lxs4Rw,ايه مسوولين يحشولنا بالهدرة بقيتو غير انتم كملي حشيلنا وخلاص,3,2021-03-30T13:37:12Z,p,,n,0.0
1192,Jeweler's craftsman chouli.s,http://www.youtube.com/channel/UC9e3Hs7mGKkisF4bKrMMvGg,كذابة ثاني,0,2021-03-30T13:07:47Z,p,,p,1.0
1193,Nassim Simo,http://www.youtube.com/channel/UCpVV0fUgW6QLRFtYxQtDo9Q,مزلتو ديرولها فالبوز,0,2021-03-30T12:41:03Z,n,,n,1.0
1194,جزائري حر Naser Amine,http://www.youtube.com/channel/UCr6SslraXsFcN6UENVZg_BA,من حقك تعبري على رايك بكل حرية لكن دون تجريح او تعميم وكلنا تعاطفنا مع شيماء وكل ضحايا الاغتصاب من الجنسين,0,2021-03-30T11:23:06Z,n,,n,1.0
1195,a. i.H.g,http://www.youtube.com/channel/UCLhxKpFbWWZ8z43kwLeK41g,مزلتي تصحي في وجهك البخص,0,2021-03-30T11:12:29Z,p,,n,0.0
1196,asma mouda,http://www.youtube.com/channel/UC3XLo7yJ_qSZxL-ys-rxgFg,مزالها دور فالقنوات تع زيقو اصلا هي من النفايات,0,2021-03-30T11:08:55Z,p,,n,0.0
1197,Sery Edinne,http://www.youtube.com/channel/UCANUqqEFDEWTq4oNn9kR3cQ,شكون لهيكل لعظمي هدا لي راه يتكلم في لفيديو اقسم بالله تڨول هيكل عظمي مانيش عارف نهار لي كان ربي يوزع في الجمال وين كانت هي حابدنعرف برك وين كانت في صف لاخير ولا وين تڨول خرج من لقبر,0,2021-03-30T09:32:23Z,p,,n,0.0
1198,sidahmed2405,http://www.youtube.com/channel/UCr_hQJMHRPuslBMYevRuZ7g,رب عذر اقبح من ذنب,0,2021-03-30T09:20:57Z,n,,n,1.0
1199,Barakoda Bing,http://www.youtube.com/channel/UC5aBQii2US2g5Z7fu7kJwFA,تمثيل غير انسايه,0,2021-03-30T08:49:13Z,n,,n,1.0
1200,amine diab,http://www.youtube.com/channel/UCcUSPRdWWOTJiGjD8FqjLGg,دي وجهك وروحي علينا غادي ختفوه,0,2021-03-30T08:14:46Z,p,,n,0.0
1201,Yakoub Mimo,http://www.youtube.com/channel/UCj18AvNHdX3O0_vNWPqV5DA,كامل ماشي نتوما لي قلتو حنا لي قلنا يادك ليتو تعرفو تهدرو زعما داو مونتاج يا قلتي قلتي,0,2021-03-30T07:23:50Z,n,,n,1.0
1202,Farid Arouak,http://www.youtube.com/channel/UC9DRQIqCHja6lxOTx-yghJg,اخ تفوه لوجه الصحيح,0,2021-03-30T07:17:26Z,p,,p,1.0
1203,Sofian Rahal,http://www.youtube.com/channel/UCZPVTRVRxjG08L90tCAGqMA,روحي تقلي بعيد خلاص كرهنا صاي علاه راكي ضلي تبرري روحي عفينا,0,2021-03-30T07:17:03Z,p,,p,1.0
1204,amrane belahouel,http://www.youtube.com/channel/UCBRW1GEy2LoKpnXh4jKyinA,ما زلتي وجهك الصحيح وراكي تهدري بالكذب مونتاج فيديوا انتي شفتيه هملى حتى انتي مع زميلتك في مركز الشرطة تاني مركب الفيديو ايا طيري باركك من الكذب صاي راحت لك راحت لك باي باي الله يخلف على شعب هو لي كان مقيمك هو لي طلعك و لا سيما كي هبطك هبطك ديركت بدون نقاش,0,2021-03-30T06:44:37Z,p,,n,0.0
1205,MrWan,http://www.youtube.com/channel/UCf7F0PtdhVOsBRr6-M_i4AQ,ينحوها ولا يخلوها لمعنىما يتبدلش قاع يعني قاع,0,2021-03-30T05:11:28Z,n,,n,1.0
1206,Halk Halk,http://www.youtube.com/channel/UCrY4MruJ_W4md_7RxOJfrgQ,صحا وريلنا ليفيديو صحيح,0,2021-03-30T03:11:48Z,n,,n,1.0
1207,Amir Noui,http://www.youtube.com/channel/UCKZ4vcqGh8_VXjAQdVDYyPA,والله ما تحشم مزالها تبرر في الكذب,0,2021-03-30T00:27:51Z,p,,p,1.0
1208,محمد نقادي,http://www.youtube.com/channel/UCHkDfhRh5pZDpoFG0eMlWtA,انتي قبيحة في اخلاقك ولستي اهلا بان تضهري في قنواة التليفزيون الجزايري ايتها الشريرة,0,2021-03-30T00:13:21Z,p,,p,1.0
1209,Moe Mokrane,http://www.youtube.com/channel/UCljfZCra2SMHFZ69kqRkfCA,كي راكي اتقولي بلي بدلو تلاعبو بالفيديو زادو بدلولك صوتك يا سيدي ورينا الفيديو تاع الصح كومبلي ياخي انت اللي سجلتيه وريهونا,0,2021-03-30T00:11:28Z,n,,n,1.0
1210,Zino_zino_ pnl,http://www.youtube.com/channel/UCf4AHxqlfXTgWAUGBkAmkUQ,عندي ميساج معاها في انستغرام لي يحب نمدلو يخدم ميمز يجي انستغرام __94,0,2021-03-29T23:43:11Z,n,,n,1.0
1211,M. Thoury98,http://www.youtube.com/channel/UCdBNx8xoSDs6e0nWWbAewRA,سلفيلي وجهك نروح نقابل بيه الناس لي غلت معاهم,1,2021-03-29T23:28:12Z,p,,n,0.0
1212,Samir Gaffare,http://www.youtube.com/channel/UCQqBQFxMbaygp08z6Ek-Zmg,اخمج انسانة جيبو غير لمرخس للقنوات,0,2021-03-29T23:25:14Z,p,,n,0.0
1213,Mounir Herradi,http://www.youtube.com/channel/UCoOELYAr1MlaBpjuFR6LR3g,خرا,0,2021-03-29T23:21:44Z,p,,p,1.0
1214,Hossin Lastika,http://www.youtube.com/channel/UCFtPLz_xIFSbZM4oIkLqp_w,تحلف فيك دولة وما يحلفش فيك شعب,0,2021-03-29T23:18:24Z,n,,n,1.0
1215,cheb fateh 21,http://www.youtube.com/channel/UCSVSxaVJ6gFZ9kbcNymgvUA,لكدب مينفعكش اختي برك نفهمك حاجة الشعب الجزايري ماهوش كامل حابس في راسو باش تقولي هك في القناة سلام,0,2021-03-29T23:08:45Z,p,,p,1.0
1216,Yayou Ben,http://www.youtube.com/channel/UCPZMsdho20Zl-WAlP4k9kzA,دوك شكون لبغلوش ليعيطلها وزاد يقيم فيها شعب كامل يشوف فيها حاشاكوم اومزالوا يستهزاو بينا ويعيطولها,13,2021-03-29T22:45:12Z,p,,n,0.0
1217,Mohammed Adam,http://www.youtube.com/channel/UCgcLWChIYBzpMIa4YSzhGJQ,الجزاير مرحاض فرنسا,0,2021-03-29T22:17:05Z,p,,p,1.0
1218,Farouk Oka,http://www.youtube.com/channel/UCQ29OUCzkkp1LIU2xKxFi_g,رفعت الجلسة الى مزبلة التاريخ قسم اغبى اغبياء الجزاير,0,2021-03-29T22:11:07Z,p,,n,0.0
1219,Djeffel Samir,http://www.youtube.com/channel/UC680vJk7yTKjnf314uqmw3g,عند وجه وتقابلي بيه تحير في هاذ المخلوقات,0,2021-03-29T22:04:59Z,p,,n,0.0
1220,Youss34abs 34,http://www.youtube.com/channel/UCmzcKyNDaKmLgG_Rz8aaimg,قولولها تروح تعطي الخروبة راه الزوفري بالكونتيتي,0,2021-03-29T21:52:47Z,p,,n,0.0
1221,نور نور,http://www.youtube.com/channel/UCJA_qBxe9X0aSoUhscihuKg,ياخي قلة ادب ياخي من كان يريد حرث الاخرة نزد له في حرثه ومن كان يريد حرث الدنيا نوته منها وماله في الاخرة من نصيب ايا قوليلنا واش الدنيا ولا الاخرة,0,2021-03-29T21:50:15Z,p,,n,0.0
1222,Mostapha Hadad,http://www.youtube.com/channel/UC-buYKUKmLyynXE4kIxPHCA,وجهك اصحيح ازتى دبرتى احكاية بصح طولتى المهم انتى اتقول راجل فى كل تصرفاتك امعندكش القبول عند اناس ياو اشعب كرهك مكاش كيفاش,0,2021-03-29T21:46:43Z,p,,n,0.0
1223,ISMAIL HISOKA17,http://www.youtube.com/channel/UCxey9Y_H2iFBUlce97SzTjg,لن ينفع الندم بعد فوات الاوان,1,2021-03-29T21:41:19Z,n,,n,1.0
1224,Mohamed Bekhedda,http://www.youtube.com/channel/UCNSyaCHrdtruzf7Vn1pldpA,بضحكي كتير هدا واش نقولك,0,2021-03-29T21:38:27Z,n,,n,1.0
1225,Anis Abdali,http://www.youtube.com/channel/UCTlgIo4TsvtCTK6Q9GNPutQ,غير وهي تهدر عيفتني تفوو,0,2021-03-29T21:18:07Z,p,,p,1.0
1226,Siad Nouredine,http://www.youtube.com/channel/UCOaQNdaflN7Xk8QDONJwBuQ,تعياي مترقعي حاجة متترقعش خلاص راحت بلاصتك,0,2021-03-29T21:01:56Z,p,,n,0.0
1227,Oum Manel chahrazed y-a-tik Saha et bon courage,http://www.youtube.com/channel/UCE-0RaXB3sTV7ADYiEah19A,ولينا مانحبوش انشوفوك كرهناكم قاع,0,2021-03-29T20:44:01Z,p,,n,0.0
1228,Sacha Amino,http://www.youtube.com/channel/UCWuB5MioLkg8fjUCMrcd_Yw,باغي نفهم غي حاجة وحدة والله اي هدي راهي من نيتها راهي مامنا بلي هيا شابة اي لي كدب عليها وقالها نتيا شابة قولولو يجي يصارحهت وانا نرجعله الدراهم لي عطاتهمله,0,2021-03-29T19:34:53Z,p,,n,0.0
1229,نور نور,http://www.youtube.com/channel/UCJA_qBxe9X0aSoUhscihuKg,واش مازالكوم تعرضوها في القنوات تفو المراة جميلة بعفتها حنا مانحبوش مراة عارية كيما هاذي رانا في بلد مسلم ماناش في اليهود يا مونيا بن مونيا,1,2021-03-29T19:05:29Z,p,,p,1.0
1230,نبيل نبيل,http://www.youtube.com/channel/UCc5o6xQ_xhHvY_wixpPfKJw,متحكمش على شخص بلا متسمعو اقوالو,0,2021-03-29T19:00:37Z,n,,n,1.0
1231,atmane bahdi,http://www.youtube.com/channel/UCUqIVsntWTvDV3jWramLpAA,يتسما انت تضربلها في الشيتة راك,0,2021-03-29T18:48:37Z,p,,p,1.0
1232,atmane bahdi,http://www.youtube.com/channel/UCUqIVsntWTvDV3jWramLpAA,تكذبي خلاص مات الحوت,0,2021-03-29T18:47:35Z,p,,p,1.0
1233,Mohamed Neche,http://www.youtube.com/channel/UCBiYfNV4IKYlQ2QYrrGoAVA,ايا نبكيو ڨاع ظلمناها مسكينة,4,2021-03-29T18:29:05Z,n,,n,1.0
1234,Laych Mnar,http://www.youtube.com/channel/UCGo2rDNd45cFC6hxAyvpBLw,ه صح,0,2021-04-01T11:05:17Z,n,,n,1.0
1235,Tajo Kadar,http://www.youtube.com/channel/UC_8_iQG2bOWfKActwXKpQBA,عندهم الصح ليقالو الي حتشو ماتو وجها صحيح,1,2021-03-29T18:08:26Z,n,,n,1.0
1236,Sabiha Ghides,http://www.youtube.com/channel/UCOIRLYJwBR6ousRcjsQWSRA,روحي اتستري حاجي بهدلة وقلة القيمة,0,2021-03-29T17:50:36Z,p,n,p,1.0
1237,Fadi Sadik,http://www.youtube.com/channel/UCOmBxgif11dhOT4ikXkLhMA,نعرفوك بلي كذابة فلا داعي للفستي,0,2021-03-29T17:45:54Z,p,,p,1.0
1238,Racim Dido,http://www.youtube.com/channel/UCyIKFDdPTgiPPsNESt0i7Kw,خلاصت حكايتك فاض عليك الماء يالعنبا عندك جبهة كثر من دخلة نتاع سطيف,0,2021-03-29T16:35:45Z,p,,p,1.0
1239,Islam Islam,http://www.youtube.com/channel/UCR7jrpN6vF6z6c_9F9UWuHA,نصيحتي لاي قناة توقفو عن نشر العهر لانه سوف ينقص التفاعل سلام,0,2021-03-29T16:25:20Z,p,,n,0.0
1240,Gaoua Djamel,http://www.youtube.com/channel/UCWFdlL0QM6Na5FNLGVbGYwg,قيو الزلط واعر,0,2021-03-29T15:58:27Z,p,,p,1.0
1241,Suosou Algéroise,http://www.youtube.com/channel/UCGSRq5Zn98p-61i_yh9nrPQ,طب طب ياو لوكان تغطسي روحك في العسل ما تفوتي ولينا في المونتاج وجه الشر,1,2021-03-29T15:43:58Z,p,,p,1.0
1242,Sonia Ben,http://www.youtube.com/channel/UCWQhOYsBu7JWzqdhhYEb7-Q,كذبة,0,2021-03-29T15:35:15Z,p,,p,1.0
1243,Fatima Zekkar,http://www.youtube.com/channel/UCNndA0-lMnK9k5o2H9OqY3Q,علاش ماهدرتيش من قبل شفتي رمضان قرب خاصك شي خدمة تضحكي على الناس رانا كامل فايقين بيك,0,2021-03-29T14:55:36Z,n,,n,1.0
1244,Mohamed Za,http://www.youtube.com/channel/UC2GiFNvcrQ9SL7HNK4XVptQ,واش داني نشوفك جاني القيا حشاكم,0,2021-03-29T14:50:12Z,p,,n,0.0
1245,Rachid Khairou,http://www.youtube.com/channel/UCfA7eQgPHWoQhmV76wP9YDA,قيو اوهوه فاقو بيك,0,2021-03-29T14:42:49Z,p,,p,1.0
1246,Oum Loudjenski08,http://www.youtube.com/channel/UC5AMZZcKnubbWuqzkNtprEg,مانحبش نشوفك في رمضان,0,2021-03-29T14:10:23Z,n,,n,1.0
1247,Nadir Nadir,http://www.youtube.com/channel/UC_3jgv_yYb4kHKvJHH8nC-A,اقسم بالله كنسمع صوتها نحب نتقيا,13,2021-03-29T14:08:20Z,p,,n,0.0
1248,نور الاسلام شهيلي,http://www.youtube.com/channel/UCIyy7zbYEXvTHCfJ1_L2HtQ,روحي نحي هذيك المشطه يلي علىالعام مديرتها,0,2021-03-29T14:07:36Z,n,,p,0.0
1249,Sam Alidean,http://www.youtube.com/channel/UCRDORJizT97WWMGUJFoS8fQ,بهلولة لما في بلدي اصحاب الرداءة يعطلهم قيمة ويسالهم عن مواضيع ما تنفع المجتمع في حتى شيء,0,2021-03-29T13:48:49Z,p,,n,0.0
1250,Habib Lahmar,http://www.youtube.com/channel/UC-tpV1HitxOU9IjvYW5UwJQ,الخنز,0,2021-03-29T13:45:24Z,p,,p,1.0
1251,Younesse dz,http://www.youtube.com/channel/UCUekje0UHmn5F4_HeGKshjA,مكبوتين الريوق يسيلو بدلوهم خلاف ولا كيفاه هدى هي لي يخرب فالشعب الجزايري انا واحد من الناس لوكان نشوف المخلوقة هدى في قناة نحدف القناة طول,0,2021-03-29T13:30:46Z,p,,n,0.0
1252,chayma om Takie eddine,http://www.youtube.com/channel/UCXzaA7zmqubA8lLSSuwpsIw,ياو دوك كي دارولك الواعرة وليتي تعرفي تهدري تريڨلتي كنتي حاسبة روحك ماتدخليش لتوالات,0,2021-03-29T13:07:31Z,p,,n,0.0
1253,chayma om Takie eddine,http://www.youtube.com/channel/UCXzaA7zmqubA8lLSSuwpsIw,فاقو,0,2021-03-29T13:06:29Z,p,,p,1.0
1254,salem salem,http://www.youtube.com/channel/UCTcI0E2-1dYO7jT9rLHyGlA,مونيا ڨاع منحبوكش صح,0,2021-03-29T12:57:10Z,p,,p,1.0
1255,ام توبة وجواد,http://www.youtube.com/channel/UCNqTgA0CqnrLmR2M-5TDPgA,روحي برك واحد ماهو لاتي بتفاهاتك مجرد تافهة وستوالك الشان,0,2021-03-29T12:35:00Z,p,,p,1.0
1256,عالم المعرفة dz,http://www.youtube.com/channel/UCJdQtWVEJMBUqXs5nr9oODA,الله لاتربحك نشالله,0,2021-03-29T12:13:05Z,p,,p,1.0
1257,Joud Koukiz,http://www.youtube.com/channel/UCG1pW9sP3ro0gPrQTl8fiRw,7 3 7,0,2021-03-29T11:58:08Z,n,,n,1.0
1258,Yahya Abbazi,http://www.youtube.com/channel/UCDTeVo2eW24JkIlelhn3opQ,الشعب بكري كان ينسى راهم يحسنوا المظهر لترويج البرامج التي شاركت فيها لعرضها في شهر رمضان,3,2021-03-29T11:36:17Z,n,,n,1.0
1259,Pola Polina,http://www.youtube.com/channel/UC2ChdGPZTmEots3ogpAG5FA,ركي بالمكياج تباني مليحة برك,0,2021-03-29T11:08:41Z,n,,n,1.0
1260,Fati Fati,http://www.youtube.com/channel/UC33e6-1iXUczOsahaFp3iLw,بركاي بلاكدب اف,0,2021-03-29T11:05:29Z,p,,p,1.0
1261,amine daoudi,http://www.youtube.com/channel/UCJtASpX0zOb64MUoMI4wjGQ,لكن الجبهة لم يتم التلاعب بها,0,2021-03-29T10:50:33Z,p,,n,0.0
1262,"idées, recettes, astuces et divertissement ken",http://www.youtube.com/channel/UCu3B1hJ2zuf8wRtar_61x7g,واش راكم تهدرو اي قالت لكم هاداك الفيديو مونتاج,0,2021-03-29T10:37:31Z,n,,n,1.0
1263,Jozaf Didin,http://www.youtube.com/channel/UCPT2OMy7HOVYNCcZce65PsA,اعوذ بالله من شيطان رجيم,0,2021-03-29T13:15:04Z,n,,n,1.0
1264,Nadjwan Eutamene,http://www.youtube.com/channel/UCc56nkNUFZC6xqS1eVbVEOg,واش تكذبي واش تكذبي شكون يندب عليك ويدير مونتاج لهاملة كيفك واش رايحين يستفادو مثلا,0,2021-03-29T10:31:22Z,p,,p,1.0
1265,الموسوعة زون,http://www.youtube.com/channel/UCypATE2FxJOG4eiAj8FI-VA,منهاك كتبي الستاتي في جبهتك باه يكفيك البلاص تاني باه مايقسوش منه كيما كذبتي تعيي علابلك كنتي تقولي فقتولي وكنت حاسبة في روحي ديجا الفنان بلا جمهور مكان والو ونتي مكبوتة اصلا مراكيش فنانة,0,2021-03-29T10:04:22Z,p,,p,1.0
1266,Moulay Fodil,http://www.youtube.com/channel/UCB49rcRm_0HPKtaTnpwIBSQ,من نيتكم مازلتو تجبدو فالقديم علا بيها قعدنا توالو ربي يهدينا والله,0,2021-03-29T09:32:09Z,n,,n,1.0
1267,mohammed moh,http://www.youtube.com/channel/UChA3X9P-_Qc44v3waAU_kAQ,المخلوقة شومرت ه مابقالهاش بزاف وتولي تدور مع جماعة صدكة صدكة باذن الله خلوها تشومر خلوها تصدي,0,2021-03-29T09:14:29Z,p,,n,0.0
1268,Yazid Ghenai,http://www.youtube.com/channel/UCjpitNxhyDL_-mH4i05z6NQ,منوية بن فغول,0,2021-03-29T07:48:55Z,n,,n,1.0
1269,Khireddine Boumaraf,http://www.youtube.com/channel/UCnqS2bH0jy_r7Z1qfajbYMw,امنتك يا حمودة القنات لي تحب تخصر شعبيتها تستضيف وحدة كيفك,0,2021-03-29T07:44:14Z,n,,n,1.0
1270,mohamed Dj,http://www.youtube.com/channel/UCTenlP2xa0IrPa8B1Bi_SXw,كلي خرى,0,2021-03-29T07:43:52Z,p,,p,1.0
1271,maya mimi,http://www.youtube.com/channel/UC5Z-axIAghSDg1peeJzFEgA,انا نصيحي للقنوات الوطنية ماتزيدوش تحبوها راهي مكروهة من كل الشعب الجزايري مهما قالت ومهما عملت ماراحش يصدقها حتى واحد هي اصلا ماصطة لاصطة من قبل الفضيحة لعملتها,5,2021-03-29T06:25:06Z,p,,n,0.0
1272,Nina Nawel,http://www.youtube.com/channel/UC9ccIG8fTCRJFN-bvbl2poA,اصلا من الاول كانت مكروهة زادت شعال منحملهاش يالطيف,0,2021-03-30T00:20:37Z,p,,n,0.0
1273,مهدي مهدي,http://www.youtube.com/channel/UC-A66ikpu9_AUm0Dt1bm3pg,عندها الحق هذا شعب جهل,0,2021-03-29T06:16:53Z,p,,n,0.0
1274,walid abbas,http://www.youtube.com/channel/UCa_ZHHzj9c6AIkwTy4LlP1g,روحي ت,0,2021-03-29T05:53:08Z,p,,p,1.0
1275,Mourad Mourad,http://www.youtube.com/channel/UC1N0I1hBjLPDRiRq9Pef07g,جهنم تنتظركي ان شاء الله,0,2021-03-29T05:10:22Z,p,,n,0.0
1276,Marocتم Fetah,http://www.youtube.com/channel/UCAVQjnCn_23lUVkDD3Gx2Ng,دبري حرفا خيرلك كرهتك,0,2021-03-29T03:24:17Z,p,,p,1.0
1277,عابر سبيل,http://www.youtube.com/channel/UCFwWTOHCOu6hYS7SBN0n4iQ,صايي فقلنالك وعرفنا كفاش دايرة واش تسواي برك ماتتمهبلي بينا ولا عد بالك ناكلو من وذنينة,0,2021-03-29T03:10:19Z,p,,n,0.0
1278,Biba Hidra,http://www.youtube.com/channel/UCunyTlpKKJHpu_Otwr9SYfA,غباء مزمن مرض العصر,0,2021-03-29T02:59:46Z,p,,p,1.0
1279,Mouhamed Mouhamed,http://www.youtube.com/channel/UCza-Wl-F9M2fsCZvuU3bmLA,هذي كون تنحي شعرها تولي ذكر,0,2021-03-29T02:01:01Z,p,,n,0.0
1280,Mouhamed Mouhamed,http://www.youtube.com/channel/UCza-Wl-F9M2fsCZvuU3bmLA,تفوه يا المرخس نهار تلقاي راجل في دارك ولي اهدري على الرجال خامجة,0,2021-03-29T01:59:27Z,p,,p,1.0
1281,Godfather of Algeria,http://www.youtube.com/channel/UCj6UQC5iLe2MJgCrR0m1pnw,هذي كي نشوفها فاي قنات نكره القنات هذي نبلوكيه طول بلاما نخمم مغطيا علا جبهتها جبهة التحرير البطني,0,2021-03-29T01:20:20Z,p,,n,0.0
1282,Marwan Doukha,http://www.youtube.com/channel/UC9EwvIgjqIpu7U_zKPLUvYw,روحي تلعبي بعيد,0,2021-03-29T01:17:11Z,p,,p,1.0
1283,rami rami,http://www.youtube.com/channel/UCHvwDIdS9cAgR0jT4WyIsqw,اتشفي واش اداك اتخلطي في الشعب القبيح,0,2021-03-29T01:15:39Z,p,,n,0.0
1284,mehdi guermit,http://www.youtube.com/channel/UCABe5brqGvC3N05s4OZiYTA,تنفخيهم,0,2021-03-29T00:55:51Z,p,,p,1.0
1285,Bahi Laroma,http://www.youtube.com/channel/UCCfSzfMjWz0uN03z-ERRRWA,هيه وملخر برك وش تبقي اكبر جبهة تعيفي مهما ديري وخامجة ومفيك ميريڨل ايا ارش من هنا يا واحد لفكرونة,0,2021-03-29T00:24:35Z,p,,n,0.0
1286,جزائري في لندن,http://www.youtube.com/channel/UC7Bc1JqbO9tJep7EgwwaQxw,وجه نمي,0,2021-03-29T00:19:23Z,p,,p,1.0
1287,Ahmed Bahmed,http://www.youtube.com/channel/UCubbwftFrNhiPqdZM9ftGhg,عندي كلام بزاف نقولوا لكن احتراما للمشاهدين لن اقول شييا سوى انقطاع القول بكلمة طيط,0,2021-03-29T00:18:53Z,n,,n,1.0
1288,Boubnia Djamel,http://www.youtube.com/channel/UCJwTSPTL3a8GfSN9O5d9seQ,هاذي خامجة ما تعيطلهاش خلوها تصدي,0,2021-03-29T00:15:28Z,p,,p,1.0
1289,Mohamed Amine Redouani,http://www.youtube.com/channel/UCOFW94EV2GAPt58FuPXgZ2w,نتي يديرولك منتاج للفيديو ديالك لي تسبي فيه الشعب كي مالقيتيش ورامن تتخباي ابداي تلفي,0,2021-03-29T00:02:15Z,p,,n,0.0
1290,Mizou Catania,http://www.youtube.com/channel/UC5b6Mv63qntJQegWG8t0_Dw,روحي تخراي معليش كذابة,0,2021-03-28T23:59:35Z,p,,p,1.0
1291,tom jon,http://www.youtube.com/channel/UCJj0SL3RgRwovBxEhq3dRcQ,اضربو يعرف مضربو انت نورمالمو وين يشوفوك تاخذي البزاق,0,2021-03-28T23:41:38Z,p,,p,1.0
1292,Laidi Houari,http://www.youtube.com/channel/UCLkS4wgoAOG6tFePwupHtWQ,الله يرحم باكم شكون لي حالها للحصة هاذا نقش لي جابها,0,2021-03-28T23:34:59Z,p,,p,1.0
1293,sofiane _sou,http://www.youtube.com/channel/UC-zYjLuFOzfj_KFOfpomOzw,وجهك صحيح ومازالك تبري في روحك,0,2021-03-28T23:29:33Z,p,,n,0.0
1294,جلال الالباني,http://www.youtube.com/channel/UCL2Qe-hbNvhRj3IWIdR2j-Q,بيت الماء فمك كيف كيف,0,2021-03-28T23:25:43Z,p,,n,0.0
1295,Man Man,http://www.youtube.com/channel/UCTeaBK7S6YniM-Rum4-KKOg,روح تعطيه,0,2021-03-28T22:47:32Z,p,,p,1.0
1296,boutine salaheddine,http://www.youtube.com/channel/UC3MtYPnOPrv7l8i59dVyiYQ,شوفالرخاس لي مازالو يعرصو فيها تفو قنوات الترم,0,2021-03-28T22:40:33Z,p,,p,1.0
1297,Bida Mora,http://www.youtube.com/channel/UCGLFCa_CK4MeomS1Mux2GVw,تبقاي مرخس وجامي نشوف فيك مرا,0,2021-03-28T22:38:33Z,p,,p,1.0
1298,Alg Rital,http://www.youtube.com/channel/UCLPgXfFZKfAVNUfrspopHOg,سڨمتيها وخدمتيها مليح ودوكا جيتي تبرري ها روحي علينا غالطة وتبقاي غالطة خلاص عييتينا كل مرة تخرجي علينا نتي ولا صحبتك ديڨاج,0,2021-03-28T22:28:32Z,p,,p,1.0
1299,Gharbi Asma,http://www.youtube.com/channel/UC_DajqAj_MT7MO5Zx_jipMw,شحال متعجبينيش,0,2021-03-28T22:27:42Z,p,,p,1.0
1300,Gharbi Asma,http://www.youtube.com/channel/UC_DajqAj_MT7MO5Zx_jipMw,شحال متعجبينيس,0,2021-03-28T22:27:21Z,p,,p,1.0
1301,Ade L,http://www.youtube.com/channel/UCHpxQC1cRSDEHPWJHDfuZHQ,وزادو ضوها نورمال بلا حشما كي نتي كي هوما يا جبهة البوليزاريو,0,2021-03-28T22:13:45Z,p,,n,0.0
