,text
1774,علا بالك يلي ماتشبهي لوالو
728,استغليتي قضية شيماء باه تسبي شباب الجزاير نتي لي عندك مكبوتات
1501,وجهك صحيح جاية تهدري الله يصفرلك الوجه يا المصفارة يا المكشوفة دايرة كي الناموسة حاسبة روحك شابة بصح اللوم علا الجياح لي راهم دايرينلك قيمة
919,جبهة التحرير اعطيناك عهدا بصاح جبهتك ديتلك وجهك
51,عندها الحق في هذي
1287,بيت الماء فمك كيف كيف
2562,هاذو لي تهدري عليهم راه اولا باباك ولا نتي معندكش باباك وثانيا خوك وخالك عمك واصلا كون مكانش هاذو لي سبيتيهم مكيش فالبلاصة لي راكي فيها هوما لي طلعوك ولا نقولك تحرقتي وملقيتيش منين تصرفي ولا نساوك قلتي خلي نفكرهم بيا ناس كامل تعرف بلي الشعب الجزايري عندو النيف وراجل منقولش بلي مكانش فيات كيما هكذا بصح مهمش كامل ميروحش المسلم في جرة المجرم
1708,وجهك صحيح يا المخلوعة
888,ختي تبعي لتالي نتاع لفيديو شبهت رجال بلكلاب وريوك رجال تبدي من ابي وخويا وزيد وزيد
1300,ادي حكايتك بعيد
1610,اللهم الطف بنا
1303,السناطح
2280,نتي يشوفوا فيك
2107,روح يبغلة كيشغل انسان
2014,جبهة
2214,انتیا حاطة روحک حاجة انتیا ماکاش قاع تهدري علا الرجال ونتیا نسیتي روحک یاوحد الجاهلة الله ایذلک حسبنا الله ونعم الوکیل یالجاجة الجاجة خیر منک
2377,الله جامي شفتك في لاتيلي مانعرفكش غير من واحد الفيديو في اليوتيوب يعيي الله ما كنت نعرف وش ديري الموسف شفت كاتبين تمثلي ديري في بالك انا نتفرج على المراة الجزايرية المحترمة المحتشمة فقط بس واذا نحب نشوف المتبرجات ندير نتفرج في الاوروبيات الجميلات
2263,الله لا تربحك
2394,عسي روحك بركات
507,شاكي تشكلي علاه هي عايرت الحجاب هدرت حاجة باينة بركو متزيدو فيها عندها الحق في كلش
1850,يعطيك صح اختي
1308,انتي معروف بلي من كملكش
1101,قنوات الرخس الي يستقبلو هاذي الرخيسة
2441,لي فري دزيري ميخليش ختوا تخدم فل اداعا يلبسولها واش احبوا وبلا ما نكمل اوازني كلامك قبل ما تهدر يا لعود روحي اهدري علا الرخاس لي راكي خدمة عندهم كي لسكلاف يتحكموا فيكم كيما يحبوا
1816,تبهديلي
85,هدري نيشان يا العڨونى
1275,روحي تلعبي بعيد
247,شكيتك نتا الرجل الوحيد لي خذا هدرتها بعقلانية ما فهمتش فاش غلطت باه عايروها قد هاك والبروبلام نساو قضية شيماء وراحو يعايروها هي
852,حاشا خليقة الرحمن
2168,نتي اقسم بالله العظيم شيفونة نمسح بيك لاسومال تاع سباطي ومانقبلكش شايفين وعايفين ونتي ومثالك قد ماتهزي راسك توشي في سباطي مليح
365,طرف لحم
2124,ياودي روحي شلي فمك اومبعد ارواحي اهدرسي على الدزيرين
86,والله متحشمي صحيحة الوجه الله لاتربحك
1063,تكذبي
1175,شنو هاذ ياخرا انتي شنو تڨولي
292,3 3 9 99
2075,نتي شاراكي حاسبة روحك مكانش حتى واحد خامج ڨدك غير عدلي هدرتك مزال ماحشمتيش ناس ڨاع راهاتهدر فيك
1293,شحال متعجبينيس
2085,الديفو مراهوش فيك ينعناعة الديفو في اللي قيمك او راهو اتبع فيك
407,عندها الحق 100 المراة ادا خانها راجلها باسكو لغلطة فاها ادا اغتصبوها هيا تانا ادا طلقت هيا مش ملاحة كيما ڨالت الدري لي غتصبوهم في عمرهم 5 و7 حتى شهرين غتصبوهم نونو الغلطة تانا فيهوم بلاك كاشما دارو معرفة غير نهضرو في بعضنا مساطت الحياة والله نحكو على الناس كامل منحكموش على رواحنا كل واحد يشوف في روحو كامل انا منلومش الرجال نلوم المراة كيفاه تحكم على مراة كيفها نضفو قلوبكم مباعد احكو على اللبسة المظهر الخارجي ياخي صادمينا متبعين الدين احكموا فامكم نضفو نيتكم ربي سبحانو قال من اتاني بقلب سليم نحي في روحي ولدت في زمن غالط خاطي تلعب والله جيل وقت يالطيف
2216,سوق لخماج
2302,جبتيها في روحك روحي حليها بسنانك عمرك ماتسبي الجزايري دور عليك
129,بن غول نحكمك نقطعك شريكي
1573,نتي كي شفتيها علاش مادرتيش الفيديو الصحيحة وعلاش ماطلبتيش السماح على السريع خليتي شهرين باش جيتي تطلبي سماح الانسان كي يشوف بلي نصبو عليه مايستناش شهرين حتى يخدم فيلم باش يسلك روحو ويجي نتي ماعندكش هبة المراة الجزايرية حتى وتكوني تلقفي للموت ماراحش نسمحلك باسك سبيتينا كامل
1129,استغفر لله هذي انسانة مزالت عيشة ولله متفهم قااع هذو العيباد كيفاه مزاال عندها وجه تخرج براات دارهم
1015,الشعب الجزايري لا ينسى واش قلت عليه يا جبهة التحرير الوطني
1531,وجهك صحيح حطي فيديو اصلي
797,جبهتها يتكتب عليها قاسما هكملة
612,99 9
2264,روحي اختي راجعي نفسك في افعالك خلي الخلق للخالق كاين ربي الي يحاسب شكون انتي باه تعايري خويا بابا راجلي ولدي جاري الله يهديك
2094,نتي تعرفي غي تقصف غسلي ريوڨڨ لمغطيتهم بل مكياج
816,وجعتهم في جنابهم
92,الفديو تاعك معرض للحذف نضرا لتفوق الديسلايك
2052,في حياتي كوملبي عمري وغاضتني حاجة ڤد الخمس دقايق الي ضيعتها معاك وڨعت نشوف في كمارتك شاراكي حاسبة روحك علاش نتي كيدايرة باش الناس تريڨ عليك الناس تفكرتي ربي سبحانو غي في شيماء الله يرحمها مين راكي تعري روحك الفايسبوك والانستڤرام وزيد وزيد نورمال عڤونة غادي وجهك غي جبهة وشفار بهلولة راكي كبيرة تلعبيهانة حاجة متتكبيريش غي الزوبية الي تكبر حنونة
506,شوفي يامونية كنت نموت عليك نحب سوق نسا على جالك بصح كي جبتي حجاب طلعلي زبل لراص حجاب كبير عليك انا وحدة مناس مستورة تعلمي من منال حدلي نحبها نموت عليها الكلب ذللتي روحك
2038,كي نلصڨك نطير عليك
1771,سو تاع امك
484,نت مسلمه لكحل لو٠ذنك كما قالك امير الشلفي حاطه كيلو مكياج
23,ولله لعندك الصح
1362,تسما كي خلات عليها قاتلهم ديرولي حل راهو وصل رمضان وواحد ما عيطلي نخدم
1753,انا اول مرة نشوف هذه البنت كنت نسمع فقط اسمها دخلت يوتوب وسمعت كامل الفيديو ما لقيتش حاجة تستوجب كامل هذه الضجة فعلا هذه الاشياء اصبحت موجودة في المجتمع الجزايري وحتى العربي بكثرة بلاك من حرقتها عمت على كل الجزايريين ما نكدبوش على رواحنا كثير من الضواهر السلبية بدات تنتشر في المجتمع الجزايري والمشكلة ان الناس اصبحت لا تستنكر ذلك ربي يجيب الخير
180,كي جيتي تعرفي دين روحي ستري روحك يا وحد الخامجة ولابخوشان فوا اهدري روحك قبل ماتهدري على الناس وترباي نتيا قبل ماتهدري على تربية الناس وما تقوليش لناس يشدو فمهم حتى تشدي فمك
2234,عجبني هذاك السيد اللي قالها جبهتك جاية كيشغول عڨبة هذا العڨبة اللي عيات الشاب خالد في طريڨ الليسي
1421,راحولك الصوارد ملقيتي وين تروحي لا قناة تعيطلك لا اذاعة تفخرك ضك لازم عليك تهدري بلقدر تربيتي
2032,روحي اغسلي وجهك نحي الماكياج وقابلي الشباب راجل لراجل
805,جزيرين خوا خوا وتحي اولد بلدي
2504,عندها الف حق ربي يهدي الجميع
2090,روحي استري روحك متهدريش على الرجال والرجال اذا لقاو وحدة مشي مستورة باينا يتبلاوها وهذو لي راكي تهدري عليهم هما ولاد بلادك
2178,رسالة الى صاحب القناة تعيي القلاوي
898,موظوعك ليس اغتصاب شيماء والجريمة البشعة التي حدثت انما موضوعك هو التبرير لنفسك لطريقة لبسك الغير محتشمة ترتدون ملابس عارية او ملتسقة باجسادكم غير مكترثين لتفاصيل اجسادكم الظاهرة هدا حرام وسيبقى حرام فلاتبرري ولن يجتمع بكم سوى الفية المنحرفة في المجتمع الفية التي كان عليك ان تخاطبيها وليس الشعب الجزايري وبطريقة اخرى كان عليك ان تخاطبي فخامة الشعب الشهم مطالبتا الحماية لاطفالنا وبناتنا من دياب المجتمع للتخلص منها لا ان تقارني بلد اسلامي بالكفار لان الكفار جرايمهم لاتعد ولاتحصى ان لم تصدقيني انظري لبلدان العرب المسلمة كيف تقتل وستشاهدين جرايم احبايك والاسلام هو ستر جسمك وتطبيق دينك شيتي ام ابيتي
1887,راكي مكشوفة ومبهدلة روحك بلا ماتفيقي الله يهدينا ويهديك
267,هادا وجه تقابلى بيه مولانا
1812,اول حاجة روحي نحي الكيلو تاع المكياج لي حطتو في وجهك وطلعي شعركلفوق وخلي يسمعك دزيري وتشوفي
170,وجه الشر
1775,مونية هدرت هدرت صح بصح انتم ما تحبوش تستعرفو
1581,قنوات ااعار مازاهم يعرضو فيهم هادي وش راكم حابين عند ااشعب هاد هباتونا وكيلكم ربي
2439,هذي راهي خليقة ربي منضحكوش عليها كنا نهدرو على الكلام لي قالتو وبعد بديتو تهدرو على العيوب السبعة لي فيها
1935,جابلي ربي ريوق لي شافتهم سحولها ليها
221,رخيسة
219,شيماء الله يرحمها ويوسع عليها حنا ندعيولها برحمة وخلاص كلشي في يد ربي سبحانو
1672,ياو قيو
1910,يعطيك الصحة
1787,مبعرة
1558,تهنينا منها والله
1465,نسينا الفهم الصحيح للوجود
2220,انا كلامها عجبني صراحة مانكذبوش على رواحنا هذي هي حقيقتنا
1166,ريوڨ ريوڨ
465,وي هيا كاين لي ماشي عباد بصح الواحد كي يدير واش قالو ربي مايخاف من حتى حاجة
2383,عندها الحق وش قالت
1107,وشكون لسامع بيك مبعرة
1122,تحلبتي ولافار كملت عليك مال
1103,تكذبي وبزاف تاني
2136,لاحياه لمن تنادي ربي يلطف بالبلاد هذي عبد وهذا مستوي ترباي ونباعد اهدري يا وقحه
159,الاسلام متنطقيش في فماك يا مهبولا افهمي روحك وش راكي تهدري
2308,تهدر علي ناس وهيا مثلت مسلسل مسخ كي لونها في غير لحب ودعوي شر وذرك تجي تعطنا دروس في اخلاق
980,زمن الرويبضة تشوف التفاهة والانحطاط الاخلاقي الله يعافينا
2520,حشا خلق ربي كنيش وخلاص
2417,تعيي تحكي غير علا طونوبيلات وزجاج فيمي مخلوعه حشاك ياجهله واش اريوقو علاش راهي عايشه مع ذيابه نتي صح مريضه روحي جري علا روحك
1202,انتي قبيحة في اخلاقك ولستي اهلا بان تضهري في قنواة التليفزيون الجزايري ايتها الشريرة
1425,لاتستطيعي ان تخبي الشمس بالغربال الناس راهي عارفة وفايقة بلي ماكيش سواسوا فهت
1251,الشعب بكري كان ينسى راهم يحسنوا المظهر لترويج البرامج التي شاركت فيها لعرضها في شهر رمضان
2145,فاش غلطت طفلة هنا مفهمت والو وي كاين الدوني في تزاير
2219,وين المشكل تكلمت بكل صراحة قالت واش موجود في الشارع ماكدبتش
2319,نعطز يمات ڨاع نسة لي كيما هي
1065,زمن الرداءة صح خرية هاهي
600,روح تعلم كيفاش تهدري عاودي رواح تمدي النصايح الهدرة الصحيحة
636,3 79 7 3 3
2019,الفيديو مخدوم علاجال باباك الجزايريين محترمون حسباتلك كيما نتي اهلك اهل الشر يا الزح
1661,ياو فاقو بركي ماترقعي فيها هدرتيها وغلطتي في حق خوتك وصايي درك علابالك بلي شهر رمضان قررب وقت مسلسلات ركي ترقعي كاش ما تنافيڨي ياو قيو فاقو
729,ديري الحجاب باه يكتمل اسلامك علاه معرية راسك تنصحي الناس الله يهديك نتي لولى يهدينا حنا
2535,روحي نحي الماكياج رواحي تقابلي
1918,انتي ماشي فنانة نتي زرنانة عندك وحد وجه تاع جعفر ولا مكانش كاين مهاجي جارنا
490,7 19 تتبع ريبيكا يلي مواقع التواصل الاجتماعي كامل قالو عيها بلي ماتحشمش وتسب وكانها ليست امراه وتزيد تهدر
1422,مكاش لي يبغيك الله غالب
1018,يعطي الصحة لجبهة التحرير على هذي المداخلة
140,الي ماتحشميش روحي عسي روحك او مبعد ارواحي عسينا متحشميش راكي تعايري في بلادك يا طاطا فهمتي فان الجزايريين خير منك الف مرة فهمتي يا لي قاع ناس عايروك وما خليتي فينا والو يالي ماتحشميش الله واحد مايبغيك فل الجزاير فهمتي
1950,والله ربي يرحم لي رباك فحلة هي تهدر علا واش راهو صاري كامل علبانا بل تقول فيه صح حناوالفنا نخبيو المستور وهي فضحاتو
838,تباني الحملة الي داروها عليها زادو عليها كلامها منطقي وفيه جانب من الحقيقة يعيشه المجتمع الجزايري خاصة وباقي المجتمعات عامة
1042,مازال كي دوري هانا
920,هذه مازلت تبين في وجها ماعندهاش الوجه لي تحشم عليه
632,وش راكوم تخلطو نتوما يا ناس واش دخل محجبة ولا سيفيليزي ولا تسوا ولا ماتسواش فالاغتصاب والاعتداء ونقص الامن هذا ڨاع على جال النفوس المريضة لي يحبو يخلقو عذر للاغتصاب والعنف لي يصرا ضد المراة صافي علا حسابك كي يشوفو وحدة ماتسواش صافي يروحو يغتاصبوها هكا حبيتي تقولي
486,مراهيش تهدر على كامل الرجال راهي تهدر على لي ماشي مربيين عندها الحق في كل لي قالتو لمعجبوش لحال معنتها نتوما عكاك
1735,شفتي جبهتك كيف دايرا ولا لالا
1781,اء
2181,3 3 3 5 3 9 3 3 3 3
1860,نت معندكش لحم في جسمك عندك غير لعظم ريوق ريوق
1595,واش يجيك من مجتمع فيه الرجال لي يحكمو والمراه كي تهدر عيب انا نقول للنساء لي راهم يدافعو على الرجال روحو طمو رجالكم لي لي جوز يكيلوها ويشبروها وربو ولادكم يشدو قدرهم وقولو ليماكم تربي راجلها مايتبلاش بنات صغيرات على كبرو حتى رجع الراجل قدام مرتو يتبلا البنات مابقى والو والله شفتها بعيني راجل خلا مرتو وراح يتبع واحد الطفله كانت تعوم راجعة لدارها ماشي راجل وهداماكان تقول عمرو ما شاف مراه ومرتو البهلوله مافاقتش اصلا ولا يلعبوها مهبولات هاديك حاجه واحد اخرى نستعرف بيك مونيه بردتيلي قلبي
1987,هادي ديجا مشي بنادم
1526,روحي تخرطي فكاش بوبال يا بوبال يخي رجال الجزاير مكبوتين رنا مكبوتين روحي قيلنا برك راكي في الساشي الكحله لي تندار قدام الباب الدار راكي عرفتها وي صو بحيا الرجال الجزاير
854,وي
1914,عندها الحق لي راه يسب فيها يعرف روحو اهي عليه
1593,مفهمتش دوك خرايا كما هادي ناس راهي دايرتلها قيمة روحي يا بلادي روحي
478,يعني كل كلامك يذهب في مهب الريح امام كلمة الله لذلك انا نقولك ما ترهقش نفسك بالتفكير والتخطيط لانو لن يصيبك الا ما كتبه الله لك
874,غير عرفي كيش تهدري ومنبعد حلي فمك يخي حالة يخي
142,والله عندك حق يا مونيا
157,وجه الميزيرية
1361,ثفو عليك يا خامجة لا عندكم لا اصل ولا شرف ثفو عليك
6,عندك صح هادو لي هاجموك فهمو بلي راكي عليهم برك انا وحدة صح عانيت من هاد الوحوش لي
1214,قولولها تروح تعطي الخروبة راه الزوفري بالكونتيتي
1393,كون دارت اعتذار كا خير من الكذب هذا
1338,يصنعون من السفهاء عضماء ويجعلون من العضماء سفهاء العيهر والتبرج انفتاح وتقدم والصلاة والحجاب تشدد وتخلف
951,نستعرف بيك
2471,صح بهدلتونا
1353,الله يرحمها ويرحم كل اموات المسلمين المسلمات لكن ماذا صنعت للجزاير هذه حتى تكون صدمة للجزايريين عاشت وتمتعت وحوست البلدان ومتميزرتش في حياتها لكن ماذا قدمت المهم ربي يرحمها
1359,امشي تخراي بعيد
2472,امراة قالت كلمتين اصبحت قضية راي عام هذا يدل على غباء تفاهة هذا الشعب سواء كانت على صواب او خطا من يستفزك بكلمة لا يحتاج لدبابة للقضاء عليك
2153,روحي استري روحك يا خامجة
2460,بقداه تبات الليلة
779,ماعندها لا حق لا والو ديجا هدرتهامش منطقية كامل تاع وحدة خارجة الطريق وياوحد الجاهلة وي اللبسة عندها دخل نتي الرجال يشوفون وحدة لابسة سروال مزير وبيستي طايح عالكتاف سي سير يسخف كبيرة وجايحة روحي استري روحك بحجاب وصلي وادعي ربي يهديك بالك يهديك ماجيش تشتكي الجزايريين يا جاهلة قليلة الادب
2192,جبهتك تطل على غدوة تقول تيمومة كي يتقص الماء نعيطولك نتيممو بجبهتك
319,دايرا كي منقدرش نشوف فيك
276,فيكتورين الله يرحمها
1238,قيو اوهوه فاقو بيك
224,عندها الحق حكمت عليها من هدرة الناس باينة بلي ما عممتش
1159,نحو علينا لخماج علاه جبتوها
2221,سمحيلي بصح بكل صراحة انت ماتوقفيهوليش
832,لا في مكبوتين شكلتها ربي قالنا سترو رواحكم خلاص تعرفي خير من ربي مام فالاجانب كاين لي يضلو يخزرو فالشيرات شبيك
662,انت تعرفي خير من ربي سبحانو كي قال استرو رواحكم ديرو حجاب يعني انت حبيتي تفهمينا بلا اللباس العاري ماشي هو السبب في الاغتصاب اسمعي الراجل كي يشوف وحدة لابسة لباس محترم ساترا روحها يحتارمها الله كاين بنات تشوفها تحشم منها وزيد كي عجبوك ليفرونسي كيفاه يكومونتيو حطيتيهم خير من الجزايريبن علاه مرحتيش تعيش في فرنسا ياك انت نيفو طالع بزاف ما تخرجش عليك هذي العقلية تقولي عليهم هوما المسلمين علاه انت تعرفي الاسلام لوكان جيتي تعرفي الاسلام ما ديريش هذاك الصليب في رقبتك زيدي قوليلي مفتاح اقسم بالله غير صليب اضح وضوح الشمس زيد ثاني لوكان جيتي تعرفي الاسلام ما تعنقيش محمد رغيس هكذاك تلسقي فيه كامل هكذاك تضلي تعري في رجليك هكذا المهم جيتي طلي طحتي انت راهي خالعاتك روحك تحسابي روحك وصلتي هذا مكان شوفي كاين بزاف صحفيين مقدمين برامج ممثلين روعة قبل ما يهدرو الكلام يطلعولو الف حساب حاطين رجليهم في الما بارد ماشاء الله عليهم مخليين بلاصتهم نقية اتعلمي من الناس المتواضعة
2380,دير كلو مكيج
2341,انا تبانلي عندها الصح شوية برك بصح هيا كانت تهدر بالتعميم كاين فية لي يقعدو عند الليسيات يتبلاو بنات الناس يعيروهم مالفوق للتحت والشيرات تاني ماراهمش ملايكة تلقاها لابسة معلاباليش كي نوصف
290,ماشي مربية
1418,لاحول ولا قوة الا بالله عندها وجه من القصدير او تزيد تكذب او تهدر
2492,رجال الجزاءر نفتاخر بيهم شمات فيك
456,خر
385,مونيا بن فغول
144,اه
1979,باركولها راهي مشهورة في زوج ثواني اصبحت نجمة عربية
742,ربي يهديك كاسية عارية تشوف ريبيكا وتقول نحرقكم تحكي علا دين وتسب كامل الجزاير والله لا فاسقة
1626,هاذي راهي حاطة روحها اجمل فتاة جزايرية عفوا جادورة اقسم بالله كون تشوف بزاف بنات الزين الحقيقي بلباس سامبل بلا ماكياج مزادت خرجت من دارهم
34,صح كلامك صحيح مي متنسانيش فضايحك وكلامك وزوخ التاعك تهدري علا لحرام ونتي دايراتو نكرهك من قلبي
29,شحال نكرهها تشبه للحلوف
231,اذا كان رايك بلي هاذي عندها الحق مالا غير ريزيرفي بلاصتك فصبيطار المهابل خطراش لازملك تعاودي تفرزي مخك لحبيبة
341,هادي مونيا معلابالهاش بلي ولادبلادها كن تصرالها حاجة هوما يرفدوها
1875,عنها الحق الطفلة
853,علاش حطيتي لفيديو تاعها كي معجباتكش هدرتها انا راني معاها وعندها لحق خاطرش راهي تهدر علا فية معينة صح كاين شي كلمات نورمالمو متقولهمش مي فهدرتها عندها الحق 100 والله يهديكم
1382,مشكلة في ولديها لي مرباوهاش على طاعت الله سنة رسوله
1877,الله يهديك يهديهم
750,كنت قادرة توصلي فكرة تاعك تمدي نصيحة بكلمة طيبة ماشي بالهجوم لانو الدين تاني وصى على الكلمة الطيبة قل خيرا او فلتصمت
2545,كلامها صح بدون منازع الصح متحبوهش
1924,المراة تكلمت عما يجري فعلا في الجزاير فلماذا تشتمونها
985,اعق
610,قاعك
2167,فرطاسة ولا تعرف تقصف
953,وين رديتي ركي روطار بزاف
2257,لي يحب الله تعييشو يا بني ادم الله يخليكم نشالله تدخلو الجنة اشتركو فقناتي الله يزين سعدكم تعيشو
1680,عجبتني تاع طفلة جامي تجي ضد طفلة تسمى حتى لوكان زانية ولا قاتلة ولا سارقة متجيش ضدها زيد مونيا تاعك راهي عممت مالا اذا عجبك كلامها معناها باباك خوك مغتصبين تاني
512,خليها تهدر وتزيد تفرغ قلبها احنا نعرفو قيمتنة مليح هي فضحت روحها كونها ممثلة مايليقلهاش هدا لكلام هي الخاسرة
55,بف
1613,مازالكم دجيبو فيها قنوات العار تفو نحيتو الستر على العايلات
2339,شفت الغاشي كامل يهدر فيها وقصتها عملة ضجة قلت والله غير ندخل نشوف وشقالت حتى راهم طايحين عليها بالثقيل لقيت بلي كلامها كامل صواب معلباليش فواش غلطت خمو شوية زعمة وشراهي تقول راهي غالطة فيه نن مراهيش غالطة بكل اسف بلادنا ولات هكا كثرو فيها ليمافيا وناس لي متخافش ربي حاشة البعض ونضن راهم قلال يتحسبو عالاصابع ربي يهدينا ويفيقنا بعيوبنا كل يوم نشوفو جرايم واغتصابات وحڨرة والكل ساكت ونهار يحكي واحد كلمة حق ينوضو ويفطنو والله ربي المستعان واخلاص
1723,نعناعة
1923,يعطيهالك نشاله
585,عندك الحق فتاع البسة وحدة تكون لابسة نورمال وحايد يرجعوها انورمال
529,وعلاش راكم تقولو هاكة على منية لمرة هدرة صح عندها لحق حنا دتزيرن منرحموش بعدنا ولله غير منية عندها لحق رجال نتوما وحوش ماشي عباد
2087,اصبر نحاول نهدر بلغتها على الاقل تفهم واش قصدنا هاو هاو هاو هاو هاو هاو هاو والله غير حاولت
1915,ولله عنده لحق هذي مراة ونص عنده لحق نتوام لي زيدو اعليه ينقش
433,ارفدي الشوشا نشوفو لواش تشبهي
1172,ربي يتوب عليك
629,يا ناس ياا شعب راهي ميش قضية لبسة افهمو شكبي رانا عايشين معا عباد مراض مكبوتين كيما قالت عندها الحق انا شخصيا شت بزاف نساء مستورات بالحجاب بالجلباب امهات طفلات صغار يتعرضوا للتحرش شكبي هاذو عباد لا خدمة لا قراية نهار كامل واقفين يعسوا فلي جا لي راح يسناو بفارغ الصبر اي طفلة مهما وش تكون بش يتحرشوا بيها فهمتي خي حالة خي متبداوش تعمموا اذا تي معشتيش مواقف كيما هاذوك مكلاه تهدري
1862,باين بلي بدلتي الوك وواحد ملتها بيها مسكينة حبت توري روحا بسكو مرهيش مصدقة بلي راهي مديرا شويا مكياج ه عجبتها روحا الراجل باهي عليها
971,روحي فيقي لعمرك كبيرة ومازالكي تكذبي ه شكون اللي رايح يصدقك جيعانة
724,فهمينيست كثروا الله يجيب الخير
125,هادي بنت فرنسا رسمي فهمي نظمي
38,وجه مقلى
1138,قرب رمضان
1164,11
1051,حتالة المجتمع انت من اقدموك الى شاشة التلفزيون الجزايري صراحة راكم تعيفو
2161,اانتي 0
518,الله يعطيك الصحه والعافيه
641,اتبع في ريبكا وتحوسوها تكون مريقلا
1429,الزبلة درتولها الشان
1966,ضد تشوفي كي نقصفك سالي على شعرك هذاك لي يضل في نفس المشطة وتاني اللبتيتماش تاع بكري هذيك اللي على الجنب غير تاع بكري لي يديرها على الجنب يخي متخلف يخي
2537,نتي شكون يشوف فيك
1970,ماراهاش تكذب غلطت في حاجة كي قالت حيوانات
2374,انا مانعرفهش اول مره نشوفها شكون هاذي يرحم باباكم
2363,من خلال تعليقات بنات دزاير احمد الله عز وجل اشكره على ان زوجتي ليست جزايرية هاذ المتحول لي فالفيديو عمم وهما يقولولك ماعممش
233,رخيس
2031,انت شكون حاش الا كنت جزاءرية حرة انت وال خيرمنك
1951,ولله لعندك لحق بلك مين غارك من فطيمة ليكانت ذكرتها من قبال بلي هيا ريڨو على فاطيمة وهيا لالا باسكو خوها ولى بوها ريڨو على كاش وحدا غارة على خاطرش معندها لزين لوالو الجبه كي التاقة
1743,مونيا_بن_فعول صارت كابوس للرجال الجزايريين مكبوتين مخلوعين بلاك ماشي كامل الرجال لكن للاسف هذه حقيقة وعادة واقعية كلامها واضح بلاش نفاق يا خويا_الزطشي وانا اويدها لكل كلمة قالتها في هذه المسالة
1594,الدرك الاسفل من النار
1192,رب عذر اقبح من ذنب
587,ياو سنسلتها ماشي صليب ولا راني غالطة
519,طموبيل تاعي مبعد ناع اميرة
2295,شوفي يا مونية نجيبلك طرف صابون اغسلي وجهك و اخرجيهالي راس راس
520,بصح في الاول بداتتها مليح
2328,الان فهمتك يا خمجة حبيتي تدي الشهرة بشتم والقضف عبالك وجهك تاع كف وبزاق
572,سلسلة تاع مفتاح
12,علاه راكي تمحي في تعليقاتي ولا كلمة الحق متعجبكمش نعم هذا مجتمع ذكوري بحت وين النساء في عوض يدافعو فيه على بعضاهم ولاو يبحثوا فيه على حجة يدافعوا بيها على المغتصبين والقتلة نساء بلا كرامة نساء بلا وجود
2270,انا نقلك يا مخلوقة ربي روحي لهاي في عمرك وكلها ويلها وكان جا كل واحد لاهي في روحو كان تقدمت لبلاد مابقيناش حنا التوالة ياحيف الرجالة الي ماتو على جال لعلام لمن حررو لبلاد نتاسف والله ربي يهدي ماخلق
936,شكون جا من عند يوبي
1838,استري روحك ياواحد الخامج باه ميشوفوش فيك
2359,هذه خشبة جهنم لوجاءت بن الاصل متوريش فيڨورتها ولات الناس تنعل فيها صباح وعشية والله لمسخها تقول ضفدعة ذات رايحة الكريهة واكثر من ذالك هذه السافلة التي تتعفن كالجيفة التي لاتستطيع الاقتراب منها الله يعطيك مصيبة تلتهاي بها
1245,ياو دوك كي دارولك الواعرة وليتي تعرفي تهدري تريڨلتي كنتي حاسبة روحك ماتدخليش لتوالات
2396,والله كاين صح لي مخلوعين شغل جامي شافو مراة خسرو الرجال على جال واحد النساء فيهم كامل الصفاة الى صفة امراة كانهم عبيدهم بصح مزال كاين الرجال لي يبزقو عليك على لي كيما نتي شابعين او شايفين
1434,لا يقبل لكي عذرا بعد اليوم
1330,نعلبو قنوات تاع خرى لي طلعوك تفاهة
1586,الانسان اللي تجيه حاجة صعيبة لانها منتشرة ويجاهد نفسو باش ماتغلبوش ربي راهو يشوف فيه بلي الحالة صعابت وملغري هكا هذاك الانسان راهو يحاول يطبق شرع ربي الله سبحانو راح يجازيه على قد صعوبة الجهاد اخي
642,والله العظيم عندها الحق ربي ينصرك مونيا
1213,عند وجه وتقابلي بيه تحير في هاذ المخلوقات
667,ايه باه تشوفي ربي يفرجها برك
1907,لاحولة وقوة الا بالله العلي العظيم
1758,وقحة ساقطة
1797,والله منكترك ماركي حاط مكياج كي تدحكي يتشقق وجه تكول حيط قديم ونتي كان ماركيش اتشوفي رجال تاع جزاءر نور في عينك هوما ميشوفكش تراب تحت القدم وي جيا نهار وتندمي على هاد الهدر
2356,فاجرة
818,عندها عقدة نفسية من حيث طريقة كلامها عقدة الكره او مهمشة من طرف محيطها
1508,نعناعة مكبوتا
2089,فيه فية من رجال تعمل هذ اشياء لكن مش كل جزايريين رجال هكذا عيب عليك مونيا
1161,كذابة
575,يا مونيا مفهمتش علاش راكي تقلدي في صوت الحية ااح اح
1747,ان لم تستحي فافعل ما شيت
147,نحي شوشة تاع على جبهتك نشوفك بلاما تغطي جبهتك شوفي نهار تعرفو توصلو الفكرة بادب روحو
1052,راحت عليك يا وجه المقلة ماعندك ماتبرري
1446,ادي حكايتك و بحري بديتي ترقعي فيها باه تولي تباني في تلفزيون تقعدي غير انتي ومنشوفكش حثالة الشعب الجزايري حبيبتك طاتها لدبي وخلاتك وحدك
